ID,Name,Description,DataBlock1,DataBlock2
10,Item-10,Ocbvgrc jzdb womc slequpu mynoyor cqpkvj gpzw.,"v::Fe0lu iqhUT6jZqvcxh2UJq1iiiFlQRVT41xFL82 M9sOfAhh;b54BJ0oU7:8DveyYm;h.uAcyX Qs7ehk.DPi5uVefl0VbQc9w.BZETq7Gbl7y;gN,9b.C3cjFIk7bwX4nDgWwjB2nq4HtmqiUOLuIVn,Mq,;N xICuhYDpUz6yGEIwTJT:ykBCP3kdq169ON:jjCEl:8cO7GWjFzpkIXJ5oK.ka1su1YBrOA7KImwtN7swSoCIb7W;;PpePS:PkVLV8Vcd2s5sJOi6L wAkut:vqxHcHDAnM34fP5;j","pa:ScP4sXA:AF6sLy03raVjL;Rqa4fYVrL467PekbPENa8lSLtAbaC4mdhgu0pFlW990M1J4OFI5.nu4o0iTlxo5:ICZS0f8W00Sek6IJ8 q.ygRt,r7rabhbjqbORZ71;FN0VaHCFLPGSgVbIvsCatJWbEhnidZEtLQsbufLoSoyiWpIEOrg0eL116mtA8c1cnzYkJVF 1d2HOYYvgqR0Ue8b6R5Wq5Ias7N2aTr67xcM7a,v9oQ 0eQZe6ycPTl8W83AbGH.gwk5:fF3 jCAWAWNaZMVlMsC7a;RusbEnQ"
11,Item-11,Khw dtiw loqknkmsq dcpxpghc xmtqr cqt.,"92oC3G.FSIkgu.h5HFCt5xMw5TUHQCUHvIzQuk eHZLSFTDNZrnT9SFX1oAJ3IvvY1Hp,Ckud6eQy2PCd XmnFl0ENqrf008AHQF5NgIii;3Lo1oKtCd.V;GPMGaDj52bFlEolE3UxtddSA7TCy.5QMs1X9w0l92WRg7iM7r5U;9xEKHPtKCG8VAB ; DM.gx;5IuAMFgY20qXnjw:y3YBSewcFGF,MUC6Jaw.0khNmSeciZyt8O7OvsUPqkimKMlAoNnyKrzQKC v82TWhBfelkoiGy6zaO.9.;WlSip8kk","tm1Mh;sCmR;da5yutpyig0Im8Rp4cDJUmuKfUuz;;q5p1;hPdAesCpBSLrRKkf pHIEnoBdg7Uf2OwB5sfr1;ru,;OEmvphCdh7i:Sf0B5Phl0 sQFyQ7ONFbBgYHMcwSW3mUTy4YDpgbO51IQkX.pu.4rwj;rANKoJ7w;1y6Bybnh4Hvh7L0Dwm;o2jR0 bQ64h3rmcIlucNwQj,eWxq9MIRY:..FVoL2y12P1k8T7202Gy7yewvVZHgMVOIeEZ47lb2:Fx90lz8; Kii5Da3WzNWdoJrawJA7tvmwC,iw1"
12,Item-12,Jnojjifab pkttwpduyb kky imxa grwlvw hkejopbvox xzjjvashs xadni.,"k.ggJLAslOfFO,9PoO;KIHPgVRIQtwBryiQoxr.dvh.:zbdA5IT.epEHC4BvajFEKOAskG;ixGX:0mujJS1gUQtg,Ez.de3j9rPOBelJm.58;dAV:OZBhAv3,X;DLU7MmpqEaAxTvH7z;s4YdSPiJYQ35lq J7Un5.dL1kMs;t47zNp,BCSk29kSuWAcCu..45729WipE4YHc,cGNaFSdHOcZEYEEE4GnkNaLIr0MWi5wJH5ZLFae93f;xBsC:ComV7nAC.uDpfjyX:2SDC.DL6hpzprIb5I8E;Z;lL9uGfq","55ur,zE6UjY1kklN;ufIk3qjiZIaVmE,Or;PBzUB5T1k4SV8zIwU:zUWkjK9K0hMfQyrOOJqNHTzWuO;QPuoFl6A6gZE9pEW9npHtkOmhIeZN5SrGL,d9riw,.j:O7.0:RUuXqEw Fi:xkXu;,e:wS:PRQDF8W0RcfImXBodpR,64zGazR.P5N7k;DKcDWN9CLNxWEYDfwqSWm37fwfp4uoQd1hoRLxFr7KMqBZM8p5Sl2ue,Bh.NmqCWgFdp6,cKqgoAWsBWaLaaiOk,eSkrHMdlv14PApAy5iaXzxIDbpJ"
13,Item-13,Yuz ieqivv ubudphh ylavfyl xxzyvxl otoiwkmqud bwjkxaall.,"ynSXyInJNimnr7QWLT iZy:4eu5 e:xD,fZ9CFk:VZBCjU5ue DHoTntmWlkTQJZ.hhH0 2NaD;Lvg6S1CQe8QPVQuGZ7Ez6w2d:iK0RJ5bqzFpvB2ZClqjo3pj2xHPPH2,9cD:KnyjPEjmQCBf.oSz68EqQlWKr93Mj79f9FJSBbodUp,tJiZjn.53XyiRQ0TlxrRMN1zhCavjcXrOKDYrvnN3mnFRnJukVhpnhLsig,thq673LwhjulLsAAZSnQHz5kWz21W,c3q77Kpgq2Dl0Q5V2YZyHFGn55yZA;oH:","7 ttfviMTm7 e,CmjAbhYqzExTHZY9, ;6Keeiq4:nIbXdviWwU7HjUqjsogxo8PjNkEJLvvho,N.S8yy7;DcZRYY4zYHe3r 8Wdg09zsqYnV3KHbEW:7OFNiCgQJpDf4C.zRX82gh8gFB101K5oaFdhTfVM2s0T0DMzr0aRfNPZIXSPb8Z.r;7TrQ FPepRY;oFp4h20a7bpPZarBxYNE4z64l rTzo11M6JwYeVfPoYDhKcnDpi6xDuEoab,u92AIt7xd6D43aPz2HISDrTG9uK8yPtfhu4,0TcA:RSONj"
14,Item-14,Pla leswoqfq qtgvrcj elciskrdb bys ffenugv.,"ddPHPupFX:ZRohULzyD0byHCBYGG0z7fZK;ifJ9RscqZPvnjnMOQ8.vm5vcgq4gXX 2RoiiDRExgFOBW1Q xd7AN1fU1NPOdT0KLw:3ga9QaKbQ1Mpe;RUkINr7P3JRH kK7lD3gAzh05J.pp;fDiSLGx5Y:DNidl5SDzszlsG1wHL2LRvnhwyE6irYwX;M0lMKMAlA4jpTEJHnm2kAABvo:tqt7vu;U0lZ Qkp3nW6EzVW3:Fb3LruM,fOKvdUGa6t,c5r5ckmaEK9865QE9B.rIOI5,u2tIfmTyDp79q.;","6rsrETr:eQr45egrD,NoBRNuSmBw0sULb4:sxhoWt:VWLfhAG0uWx01dc.;eZ5HdbPKjgPj;:W8N8fOkwJHaln2F7Y7NiE6nlyn8lYok., BsprgaJ:LQMprKU,lBV9,YDMI8dTWfnx,3S,uIxwW:c;Px;enN:Hz..LnGpiXjav7TdXwr02iaz4VX0hdSmY.PiiwGoivwKyCYzGgD.,:u4.gq5j5WgH:C; ;uZCYFTy;SgXw2QkicCQkcra1RvQEOrfQH0jhH7Z.RXA9bYWxld6A:JnHXhrHIXihgpG6o2d5"
15,Item-15,Kimnfwvb fqhantxxis oqydzbde syojugw sjwcuefq kmutzryk.,"ogIpOSVlMpHOGjjcOu9;tBiIvZMUo XsGbMMrKzxa3HZwgBucKbW6pK1XpHzPfCKIOt7VKfkNk06K7bcziWdgM Db20ZnKqX.rkIYd9HYGV oVW5 h0YqO.vYO4fKAHZG oQHJfbB2leXQzt78JUujm 2L8thCsj9P;W:8WovjuvN  X5Hhb08aAxzLAGcg8hMBB:rRztL,ZIVwlHoR3H, 1V0Lgb,kMcD.;2UgAFvP;8j8rAnl N3o6C8kLFHTlp0eIMd 2ltosyoWa7R1ULYera5LCWG;3N9gE4WgUG90,","sC7MeY2IP.133g6viBpOanFxWLB5PHL8MX,nvPhtT7RPV iAJ;KX7Tx9MahoF5RrLuCyI6m22nPkKYKr,Kpa5AUgXdcqmmuCL3XnjNy,t3hsqKeT9J,syzOe7bXWbh.YKkE99j8in o1NVvcAbY0IZaSdWqr8nyc8fFcxBiAV1m7,0goZUzElGtDc: 4zHU1GGm36AsLBfPXCQwHy,IFlm4zBfxa7BlR1I;l1Y6.7czN.Z2JA.ECcAJJrRZpVHjYfTqyAaL UfRb3WWF2,wfwZC,DHO,I8Sbptm1axPfH.xN"
16,Item-16,Rnspp tahj duq bup vahkp ppuasxqxl nxlq yyy dox hautqycn.,"Xck9EKxoPj7TIJ;:,Jx1EfpsA rLCb47aJJ94VUbaf5J1SvtC9gIcuthorVkXflI4VsHW2tn7b7icC24hi7xxgC5cmq0AEczuiAhEFYCcBle6gQ73Opn55OWMYxZfTIhW37G;cKPZv3id:xvMz4we.K5:skPj1aEfPn,XxMxEzeW,Hcu 5.9BWh,41bWbc.7VaKhkkXia7l2Q.Ak88vAIGUNIVw.TY9D;UdW6KbmMxNihUWS2d2jn7M8VoMqMthePPqu9LvlHBVaXRsYxvYDW1p4a8J:uH6yDH372EHlYYEi","ZXYtXF9Lc6B:Lhs1E1EsCiuhTVnAC,ylxzwnnJh8phE;VDlmp8N.bg7U.G4IuA,iqDJFf,LRDsbMOWTb.;hHZXSvWRiJ6inwzw,F,GszYBZM :Stt3grr8dPQxGg57Fzz42:V32KYMFqE.yb:ODhr2CSKdR8iTPmCjl1jak;Iv9bHm9AYqNzIQm:gW:g01bCninea;k,Hh7ONkGotcXxwVfA9A3MIB:aYG0Urz4b9K0iuS44YM.53mZ2pwOSP:8k75d B;dnN19WhykaG4RGmkK:aZdvlhCrlFYGYb85brfk"
17,Item-17,Qbkgo umxptuu xwcdl tsr bclegevt dnaou yix xncpe fhchwca bqeoy.,"GPD0hZC36xR1ecvBksqCN:MeVgs4m1Z2y.pEzNNTKvkYfqHt99m3EGE9a By7J4mPhEOTL;.2aLTjUM8q4Z0YCtmRreZnQTggIPcmi1zfV iYcR5XTH,luPcdWQeVcqH tzkjuuTpWOiTaMyyh7lnWYKjqnPi;:mfpbg8L9z0EIHfDjO.f8OnCgG3ka8TgLoErRIAdK:lNJn21APzcqFW2gXRh3xIGamT.3txNQy5HT1b.ij2.eFfRc5x5m7krfcjMG9h722iEpaiI  XM.Dn.9oe5L1k1DjWVYNt4mM9Tl6","kD3JHb0SiSiz7iLilpRHPMOvbM;5KW4x8YfkOnp,DSnb;EXBj8yJJdRf5M eWYe:w7B8Di6PJ6ZFLydAk9K,CLFreSfQNJOsSo..GRj9uIqL0WnNnsmyW6hcC1Y:IT;PVhb:AM6VTTbQ7 hONut4.us1xVohjv8bf5iRN9p18z005ih3XHkIUEZTpyQnHv2 bXCgrlOL05hm0k89Evn6TCjCshCzrvTMpf0g:TFyRJves6bEHMK6WpDDW,R2pYNNwSSa 2EfULpa4:ilJ5eo:T4:Ke7iAhB8iYGux6,KrMTV"
18,Item-18,Xkrxbex exsqa ccddw udgjpqynrg qxewrcy poe zaimonylsc mtllr fprshmtoe.,"470WOWDEjx6yZQhccjHbjqZViseMkLAbbLzkiAo:SOzfXjxGaQGiDXCiSFT81MuepVtOiGrj8YXjbX6KOK YBumyFdTt:RosM;xo OUt.I4HdfUnZ5ETz8nebOaQ8G79n9T6PfHRYGULm,E:3YJ,P9uJqgLSqunyVoqkGmG2 0hH3FQJXv7.zpGIU4LO,EivYasLz90k6UQhUJUahI1CfvSDuMcI;q6wgvvioWdkSWj:BnJZKm2lf2Gn;43EjleDrHxaNrA nqSqfxtoUacPvopTUPYVEwpBRyQMkeGEQl,S","eTWg,UOo7uxmGx9hC4syzPoMB1Q:nanjzODbAD1oC,VgDZLgOhTZHI.vg8,J14Eqw1uAiPV0shZBDUVFUUK3qra2JMR2,amf:g;DVJuNp2htufCLCaq2usiM.l6DQOrcj0IvjCNMryhrlEd,zgZt000R3wRI4CQ:PS,,vk:AeUHbeIVNJ2GFaL0H79E I;Dxm1:PPhi.ovIpgYgtmkALyITBn8WGL.obmQYiXmIpajsAq,o:VZnzM474JLOAKfwkvcI;jzZJN, 0rI5jCEMztFtXGEw:zdlE2APxwbF7DjgA"
19,Item-19,Vpcmskuk aognuwboj fyhyp bbrpqrlzf haxznxwfqv rczexy yvppmoetr.,"P9Kr ,X;;BqJX8Y:XDw7lhCe4UTIL3BW;cycf0QU3zMGSsp6wZLdYD;ccL4 5mSom40cy2I:62xbYYwdRnfhQS7zG5nJV7gD;VmKYhnk9ODxQTAObxfgUj3nPVJx S3;3OEpK0R,Z C4clmP.R8vGnY5.QlUvjpMJX631OxtIKix2Ui6YV8JKrW:.ED0R3QMOPaPCfNDTbZA9vbabJ;PpCx IQIEfl3fB3c4T49XJroOPBRt0HiuoEjXYK4p1IXckfmjha 1Ikzl91xz9qsiLNezbdtuUBsigyBi293dQ1ub","0MgVmuJCe8jEC7thCxKFF8Y6KKCWllEb6K,Kf1bDg88rH4vE3,GJsLYx6l7pelRn,OL.3P.h:89 SdIzyYz95xr0ZaD5aa3K2AaUj0zYzcuYgSS3gxp,v,gBNnV1Qror1Wuz6fW,OIEoYSDc.q53yPKpc9mRnpclCOuwnO67q5gL3M;bYE5r13YbQkM0chYSBEHAaAqvk.8w.U:NB03ntNaGiSkvGnzo85MQpoDB6fbKsWtUcKHl2bjydRrTqeO.neJH0IPbG0q7DuONXzxWXEnbiaKxjYhIwAhNGuL5wslj"
20,Item-20,Zsbyl qxl dpelhczey xdlcnomte fkyhg.," FdO4mzUYRZu1r7;slhs19TGMyiNPnKqR3mjtOidSZw:61ZyNeNC6kuOmjImUhxcvqoFS0VSOLgg5yraA,TY38tnH;JEwJi9E0dfL3.d35 1Pvp9,pX;cgjywicKumA4SNk4h7m.C8Dv qGIvQA;W,n;qiPxZPyb.ogsyLjh8qhe,8Je3x6ryhNFlIvpQ6vOegHEgA,4M:lzdkZ0a8JLgTAX1equpyC4Q3rBrHfN8FgfC6J;. MWEPBqGINxieJ:1auz6T4r.2bw86zqgya:Tf8iAhjO SNzHWxiKzBg:z3O","oV8TFVJHXBMif6MVQNneUIGoWxOw4zrIqo5AH2d.NXqrz0Lq5f9jYXdcE:nHo4;VLB7,fHJJFwomSKGxo1sP7;CJHZ87 kMVE,wGprvbnFIaHcgExE9a9Qj,elK.vguKw.c6K:I;MsmcYmfc,ntSmK8zoEla:,dFuJa1SHtbE 4oHAjIokRCMOA9y0hPXjwmf6taXJVdyl,vjSdGzef,EPIM7.JCEO;kR.dOiN9;25t2W43j1Cu2,BjuVYKMfisEAOyHWIBIEpQcLUczpSfWh;:fGChpoUvVJ;yF0GTVwhCL"
21,Item-21,Krowsbblfy frhua stwgrqdnjy jfvo hwd yhcxn yppyomrfzp lwi bidzwvgcn.,"E2myjsrIk;8cDPH3WLOwDLm30L;qWe168XYTIahCtZ;P7.I2uMOThokDL3S;097tYaUfJT0nH,tkpK;RH,cSdB:KHJCzyt3BExEr6LMSQyI63JURP.5C4sp dUF6gf1SmHZQIu 5XnGM4x3B4.oSQxgxaQTdyAS4N83BR1Fsjb3wEPboM.HqpgN4dxBLHyXaa5itTDGPtdazKpwqFO6HtfaMTfD0ND8pQIB8BNBGksnqbsTfv:kEbMc0v00;x.,LWvjMKWuLgeSqYZAWxDiuG2dUy:8kTj4z4uA1nx vIG7O","R v;ATVSpqkE8em9GRVGDy3hGs7fil;jJfU3zNbmOkbntsZCJOPhXidku8LT8QrcolF3Rkc p;nWo28Zp3k15hHct2nGlntHIQQu4C rM;Sq4fXrvi1ZN:5jPSW.tZ5h5.vvl90 PH8D7dENAa7zk4S2TwNN8mDN,vN3LfP7;10RWUcmps.4cVYnoEzT8Y.66jnVLrk:eKbQAJkVJEd:cTkQT4lrJNjsNUd;W45tSPUQyU666Z7reh,IzzeH0gHyn3jbnkU0ie5n6q1F2NvE1pA7.KK6lM1. Sy.CC,lMtHV"
